1 0.608240
2 0.187986
3 0.079849
4 0.048065
5 0.024752
6 0.014925
7 0.009950
8 0.006291
9 0.005797
10 0.003659
11 0.001932
12 0.002179
13 0.001110
14 0.000699
15 0.000740
16 0.000493
17 0.000535
18 0.000699
19 0.000535
20 0.000164
21 0.000288
22 0.000123
23 0.000164
24 0.000123
25 0.000082
26 0.000164
27 0.000082
28 0.000082
29 0.000123
30 0.000000
31 0.000000
32 0.000000
33 0.000000
34 0.000041
35 0.000041
36 0.000000
37 0.000000
38 0.000041
39 0.000000
40 0.000000
41 0.000000
42 0.000000
43 0.000041
