2 0.122634
3 0.034568
4 0.004938
5 0.001646
6 0.001646
7 0.003292
8 0.001646
9 0.001646
10 0.000823
11 0.002469
12 0.002469
13 0.008230
14 0.007407
15 0.010700
16 0.006584
17 0.001646
18 0.002469
19 0.004115
20 0.000823
21 0.004938
22 0.000000
23 0.004115
24 0.002469
25 0.004115
26 0.001646
27 0.002469
28 0.000823
29 0.002469
30 0.002469
31 0.005761
32 0.002469
33 0.004115
34 0.002469
35 0.000823
36 0.001646
37 0.000823
38 0.000823
39 0.000823
40 0.000000
41 0.000000
42 0.000000
43 0.001646
44 0.000000
45 0.001646
46 0.004115
47 0.008230
48 0.001646
49 0.000000
